AAAS Afrcn and Afrcn-Amer Stds,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
,,,,,,,,T,01:00 pm-03:00 pm,,,,,,,,,,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,EA 203,
NR,10213,AERO,3312,1,11M,3,Leading People/EffectiveCom II,MW,02:20 pm-03:45 pm,20,0,20,0,0,0,0,0,0,"David Lucas Helton (P), Evell F Ballard , Corey Buran",01/17-05/04,HH 207,
NR,10212,AERO,3312,101,11M,0,Leading Pep/Eff Com II Lab,TR,06:00 am-07:00 am,20,0,20,0,0,0,80,0,80,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,FH TRK,
,,,,,,,,T,01:00 pm-03:00 pm,,,,,,,,,,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,EA 203,
NR,10215,AERO,4412,1,11M,3,Nat. Security/Act Duty Prep II,TR,09:40 am-11:05 am,20,0,20,0,0,0,0,0,0,"Evell F Ballard , Corey Buran , David Lucas Helton",01/17-05/04,HH 206,
NR,27806,AERO,4412,101,11M,0,Nat. Security/Act Duty Prep II,TR,06:00 am-07:00 am,20,0,20,0,0,0,80,0,80,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,FH TRK,
,,,,,,,,T,01:00 pm-03:00 pm,,,,,,,,,,"Corey Buran (P), Evell F Ballard , David Lucas Helton",01/17-05/04,EA 203,
AGRI Agriculture TN eC RODP,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,26010,AGRI,1010,R50,59R,3,Introduction to Agribusiness,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
NR,21105,AGRI,1020,R50,15R,3,Into to Animal Science,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
NR,26023,AGRI,1030,R50,59R,3,Introduction to Plant Science,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
NR,24679,AGRI,1050,R50,59R,4,Into to Soil Science,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
AMSL American Sign Language,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,28689,AMSL,1010,1,11M,3,Intro Amer Sign Lang l,TR,08:00 am-09:25 am,20,0,20,100,0,100,0,0,0,Bethany Diane Chu (P),01/17-05/04,FCB 266,
NR,28690,AMSL,1010,2,11M,3,Intro Amer Sign Lang l,MW,02:40 pm-04:05 pm,20,0,20,100,0,100,0,0,0,Nicholas Norman (P),01/17-05/04,FCB 266,
NR,28691,AMSL,1010,3,11M,3,Intro Amer Sign Lang l,TR,09:40 am-11:05 am,20,0,20,100,0,100,0,0,0,Bethany Diane Chu (P),01/17-05/04,FCB 266,
NR,28692,AMSL,1010,4,11M,3,Intro Amer Sign Lang l,TR,01:00 pm-02:25 pm,20,0,20,100,0,100,0,0,0,Nicholas Norman (P),01/17-05/04,FCB 266,
NR,28693,AMSL,1010,5,11M,3,Intro Amer Sign Lang l,MW,05:30 pm-06:55 pm,20,0,20,100,0,100,0,0,0,TBA,01/17-05/04,REM 100,(Tiger Eats Does Not Apply)
NR,28694,AMSL,1020,1,11M,3,Intro Amer Sign Language ll,MW,02:40 pm-04:05 pm,20,0,20,100,0,100,0,0,0,Kristopher Colvin (P),01/17-05/04,FCB 264,
NR,28695,AMSL,1020,2,11M,3,Intro Amer Sign Language ll,TR,11:20 am-12:45 pm,20,0,20,100,0,100,0,0,0,Kristopher Colvin (P),01/17-05/04,FCB 264,
NR,28696,AMSL,1020,3,11M,3,Intro Amer Sign Language ll,MW,12:40 pm-02:05 pm,20,0,20,100,0,100,0,0,0,Kristopher Colvin (P),01/17-05/04,FCB 264,
NR,28697,AMSL,1020,4,11M,3,Intro Amer Sign Language ll,TR,09:40 am-11:05 am,20,0,20,100,0,100,0,0,0,TBA,01/17-05/04,REM 100,(Tiger Eats Does Not Apply)
NR,28698,AMSL,2010,1,11M,3,Inter Amer Sign Language l,TR,11:20 am-12:45 pm,20,0,20,100,0,100,0,0,0,Trentavius Harper (P),01/17-05/04,FIT 226,
NR,28699,AMSL,2010,2,11M,3,Inter Amer Sign Language l,MW,02:20 pm-03:45 pm,20,0,20,100,0,100,0,0,0,Alene L White (P),01/17-05/04,FCB 262,
NR,28700,AMSL,2020,1,11M,3,Inter Amer Sign Language II,MW,12:40 pm-02:05 pm,20,0,20,100,0,100,0,0,0,Alene L White (P),01/17-05/04,FCB 262,
NR,28701,AMSL,2020,2,11M,3,Inter Amer Sign Language II,TR,02:40 pm-04:05 pm,20,0,20,100,0,100,0,0,0,Alene L White (P),01/17-05/04,FCB 262,
NR,28702,AMSL,3010,1,11M,3,Advanced American Sign Languag,TR,11:20 am-12:45 pm,15,0,15,100,0,100,0,0,0,Alene L White (P),01/17-05/04,FCB 262,
NR,28703,AMSL,3020,1,11M,3,Advanced Fingerspelling,TR,02:40 pm-04:05 pm,20,0,20,100,0,100,0,0,0,Nicholas Norman (P),01/17-05/04,FCB 264,
NR,28704,AMSL,4205,1,11M,3,"ASL for Speech, Audio, & Educ",M,06:00 pm-09:00 pm,7,0,7,100,0,100,7,0,7,Maria C Childress (P),01/17-05/04,REM 100,(Tiger Eats Does Not Apply)
NR,28705,AMSL,4206,1,11M,3,Deaf Culture and Deaf History,TR,09:40 am-11:05 am,20,0,20,100,0,100,0,0,0,Trentavius Harper (P),01/17-05/04,FIT 226,
NR,28706,AMSL,4208,1,11M,3,Intro to Interpreting ASL,MW,02:40 pm-04:05 pm,10,0,10,100,0,100,0,0,0,Bethany Diane Chu (P),01/17-05/04,FCB 268,
NR,28707,AMSL,4209,1,11M,3,Linguistics in ASL,TR,01:00 pm-02:25 pm,21,0,21,100,0,100,0,0,0,Kristopher Colvin (P),01/17-05/04,FCB 264,
NR,28821,AMSL,6205,1,11M,3,"ASL for Speech, Audio, & Educ",M,06:00 pm-09:00 pm,7,0,7,100,0,100,7,0,7,Maria C Childress (P),01/17-05/04,REM 100,
ANTH Anthropology,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10696,ANTH,1100,2,11M,3,Biol Anth & Prehistory,TR,09:40 am-11:05 am,30,0,30,100,0,100,40,0,40,Katherine Robinson Mickelson (P),01/17-05/04,MN 318,Gen Ed Social/Behavioral Sci and Social Studies
NR,10700,ANTH,1100,4,11M,3,Biol Anth & Prehistory,MWF,11:30 am-12:25 pm,30,0,30,100,0,100,40,0,40,Edward Maclin (P),01/17-05/04,MN 340,Gen Ed Social/Behavioral Sci and Social Studies
